date,pick,adversaire,tournoi,cote,mise_pct,resultat,gain_pct
20260704,Linda Noskova,Sorana Cirstea,Wimbledon R3,1.44,4.5,gagne,+1.98
20260704,Jasmine Paolini,Maria Sakkari,Wimbledon R3,1.76,2.0,gagne,+1.52
20260704,Iga Swiatek,Alexandra Eala,Wimbledon R3,1.28,3.5,perdu,-3.50
20260713,Anna Bondar,Sara Sorribes Tormo,Iasi R1,1.77,4.0,gagne,+3.08
20260713,Harriet Dart,Mina Hodzic,Athens R1,1.23,3.0,gagne,+0.69
20260714,Aliaksandra Sasnovich,Anna Blinkova,Athens R1,1.76,4.0,gagne,+3.04
20260714,Clara Tauson,Nao Hibino,Athens R1,1.25,3.0,gagne,+0.75
20260715,Anna Bondar,Tamara Zidansek,Iasi R2,1.41,3.0,perdu,-3.00
20260715,Yulia Putintseva,Alina Charaeva,Iasi R2,1.56,3.0,gagne,+1.68
20260716,Laura Samson,Gina Feistel,Kitzbuhel R2,1.44,3.0,perdu,-3.00
20260716,Teodora Kostovic,Lucia Bronzetti,Rome125 R2,1.58,2.5,perdu,-2.50
20260716,Martina Trevisan,Aurora Zantedeschi,Rome125 R2,1.67,2.0,gagne,+1.34
20260716,Panna Udvardy,Katarzyna Kawa,Iasi R2,1.80,1.25,gagne,+1.00
20260717,Tereza Valentova,Alina Korneeva,Athens QF,1.75,2.5,perdu,-2.50
20260717,Clara Burel,Oleksandra Oliynykova,Iasi QF,2.08,1.5,perdu,-1.50
20260717,Clara Tauson,Sara Bejlek,Athens QF,1.82,1.5,gagne,+1.23
20260718,Maria Sakkari,Alina Korneeva,Athens SF,1.64,1.5,gagne,+0.96
20260719,Paula Badosa,Mayar Sherif,Iasi F,1.52,2.0,perdu,-2.00
20260719,Barbora Krejcikova,Maria Sakkari,Athens F,2.08,1.0,gagne,+1.08
20260721,Yulia Putintseva,Elina Avanesyan,Hamburg,1.50,3.0,perdu,-3.00
20260723,Mayar Sherif,Tamara Korpatsch,Hamburg SF,1.55,3.0,perdu,-3.00
20260723,Tereza Valentova,Daria Snigur,Prague SF,1.69,1.5,perdu,-1.50
20260724,Tamara Korpatsch,Anna Bondar,Hamburg F,2.00,1.5,gagne,+1.50
20260726,Ann Li,Magdalena Frech,Washington R1,1.48,3.0,perdu,-3.00
20260802,Kristina Liutova,Darja Vidmanova,Memphis F,1.91,1.0,gagne,+0.91
20260803,Caty Mcnally,Tatjana Maria,Toronto R1,1.62,2.0,gagne,+1.24
20260805,Liudmila Samsonova,Barbora Krejcikova,Toronto R2,2.52,0.6,gagne,+0.91
20260814,Mccartney Kessler,Caty Mcnally,Cincinnati R1,2.06,1.1,perdu,-1.10
20260815,Sorana Cirstea,Nikola Bartunkova,Cincinnati R2,1.59,1.5,gagne,+0.89
20260816,Elena Rybakina,Taylor Townsend,Cincinnati R2,1.29,1.5,gagne,+0.44
20260817,Sorana Cirstea,Anna Kalinskaya,Cincinnati R3,1.82,1.0,gagne,+0.82
20260819,Elena Rybakina,Diana Shnaider,Cincinnati R16,1.37,1.0,gagne,+0.37
20260826,Oleksandra Oliynykova,Diane Parry,Monterrey R16,3.07,0.7,perdu,-0.70
20260829,Elise Mertens,Nikola Bartunkova,Monterrey F,1.60,1.5,perdu,-1.50
